Sheet Row Number,Name,Arrondissement,Favorite,Cuisine,Vibe,Features,Notes,Website,Instagram,Facebook,LLM Tagged at,LLM Confidence,Delivery,Takeaway,Google Place ID,Latitude,Longitude
4,Alfi's,1,,italian,casual,"lunch, late_night, cocktails",,https://www.alfis-paris.com/,,,2026-06-23T14:47:25+02:00,high,UNKNOWN,UNKNOWN,ChIJKXIQTodv5kcRpBJj_8p8yb4,48.8663741,2.3272262
5,Alfred,1,,french,classic,good_for_groups,,https://www.alfred-paris.com/,,,2026-06-23T14:47:39+02:00,medium,UNKNOWN,UNKNOWN,ChIJxe_7Nihv5kcRbFerQNdaEp4,48.8656226,2.3291059
113,Benihana Paris,1,,wine_bar,casual,,,https://www.benihana.fr/,,,,,UNKNOWN,UNKNOWN,ChIJTSd1Ig9v5kcRXjZxuSYVoeg,48.863471,2.3348465
69,Bistro les Artizans,1,,"bakery, bistro","casual, classic",,,http://lesartizans.fr/,,,,,UNKNOWN,UNKNOWN,ChIJ_5qDXxhu5kcRiJhbIQOAZr4,48.8637686,2.3465503
79,Bistro Mee,1,,bistro,"casual, classic",,,https://lefooding.com/restaurants/restaurant-bistrot-mee-paris,,,,,UNKNOWN,UNKNOWN,ChIJHXZBfCVu5kcRJ9vT1b9opEc,48.8645247,2.3338876
13,Café Joséphine,1,,cafe,casual,,,https://www.cafe-josephine.fr/,,,,,UNKNOWN,UNKNOWN,ChIJdd2yjVhv5kcR40Ab9Db4mBI,48.8628067,2.3413233
14,Café Kitsuné Louvre,1,,"bakery, cafe",casual,,,https://maisonkitsune.com/mk/find-a-store/cafe-kitsune-vertbois-2,,,,,UNKNOWN,UNKNOWN,ChIJzXNG3Ehv5kcRrlMHyynIcWY,48.8640368,2.3357595
793,Café Lapérouse Concorde,1,,cafe,casual,,,https://cafelaperouse.com/,,,,,UNKNOWN,UNKNOWN,ChIJy0uxFbFv5kcRY5pz2Ruz8aM,48.8667698,2.3229809
32,Ernest Samaritaine - La boulangerie par Eric Kayser,1,,"bakery, wine_bar",casual,,,https://www.ernest-samaritaine.com/,,,,,UNKNOWN,UNKNOWN,ChIJUwpHIIBv5kcRhOJAwG9b96E,48.8600055,2.343288
51,Kodawari Ramen (Tsukiji),1,,ramen,casual,,,https://www.kodawari-ramen.com/kodawari-tsukiji-la-carte,,,,,UNKNOWN,UNKNOWN,ChIJme1o5vVv5kcRzuT1Uxyk-Rc,48.8643421,2.3362452
54,L'Express Bar,1,,"cafe, wine_bar",casual,,,https://www.timeout.fr/paris/restaurants/lexpress-bar,,,,,UNKNOWN,UNKNOWN,ChIJ30tw9iFu5kcRdVy8yT18FZY,48.8611232,2.3438129
738,La Plume Rive Droite,1,,wine_bar,casual,,,https://restaurantplume.com/,,,,,UNKNOWN,UNKNOWN,ChIJV16fXohv5kcRADqJT73ahsM,48.8648618,2.3442388
63,Le Bistrot des Halles,1,,bistro,"casual, classic",,,https://www.instagram.com/accounts/login/?next=https%3A%2F%2Fwww.instagram.com%2Flebistrotdeshalles%2F%3Fhl%3Den&is_from_rle,,https://www.facebook.com/pages/category/French-Restaurant/Le-Bistrot-des-Halles-155667301151033,,,UNKNOWN,UNKNOWN,ChIJGyNTPh9u5kcRRw4VmhA-pSs,48.8601029,2.3462422
64,Le Nemours,1,,"cafe, wine_bar",casual,,,https://www.lenemours.paris/,,,,,UNKNOWN,UNKNOWN,ChIJvYAMtCVu5kcRmAVmbFzjizg,48.8630568,2.3365269
66,Le Roch Hotel & Spa,1,,wine_bar,casual,,,https://www.leroch-hotel.com/fr/restaurant-bar,,,,,UNKNOWN,UNKNOWN,ChIJsagz4S9u5kcRxvJ5eKKVkyU,48.8661957,2.3328756
72,Loulou,1,,wine_bar,casual,,,https://www.louloufriendlydiner.com/,,,,,UNKNOWN,UNKNOWN,ChIJ_QwlZC9u5kcRM4LKKEFIOTE,48.8628651,2.333541
382,Maison Philippe Conticini Paris 1er,1,,bakery,casual,,,https://philippeconticini.fr/,,,,,UNKNOWN,UNKNOWN,ChIJ80nQ51Bv5kcRT4Sx54Bqz1I,48.8568011,2.3417228
728,Marcelle - Rue Montmartre,1,,bakery,casual,,,https://restaurantmarcelle.fr/fr/etablissements/8605761011376455681,,,,,UNKNOWN,UNKNOWN,ChIJy7d0fBhu5kcRvVhoGx-c5X4,48.8641318,2.3456537
235,Menkicchi Ramen,1,,ramen,casual,,,https://menkicchi.kintarogroup.com/,,,,,UNKNOWN,UNKNOWN,ChIJq99pfklv5kcRm0NDwGCXyjo,48.8665213,2.335564
39,Restaurant La Halle aux Grains,1,,cafe,casual,,,https://www.halleauxgrains.bras.fr/,,,,,UNKNOWN,UNKNOWN,ChIJWU_367Fv5kcRvjy7VAbM9G4,48.8629365,2.3423588
115,Saint Laurent Sushi Park Paris,1,,sushi,casual,,,https://sushiparkparis.ysl.com/fr,,,,,UNKNOWN,UNKNOWN,ChIJB55WIlpv5kcRgHRk3O6EnTU,48.8651755,2.3307538
110,Au Pied de Cochon,1,,,casual,,,https://www.pieddecochon.com/,,,,,UNKNOWN,UNKNOWN,ChIJQQtKZyJu5kcRhXhHvOUt3To,48.8635176,2.3437221
107,Boutique yam'Tcha,1,,,casual,,,https://www.yamtcha.com/reservations.html,,,,,UNKNOWN,UNKNOWN,ChIJsWggLCJu5kcRdLsT5Rd6Wsw,48.8617019,2.3424475
28,Eats Thyme,1,,,casual,,,https://www.eatsthyme.com/,,,,,UNKNOWN,UNKNOWN,ChIJm28ylHBv5kcRPXdmMOyZEOs,48.8646973,2.3406711
45,Ippudo,1,,,casual,,,https://www.ippudo.fr/info,,,,,UNKNOWN,UNKNOWN,ChIJmTXzmiJu5kcRGUdMHHuPaNs,48.8645486,2.3447129
50,Kitchen by Madame Rêve,1,,,casual,,,https://madamereve.com/en/restaurants/kitchen,,,,,UNKNOWN,UNKNOWN,ChIJz8VyBp1v5kcR--8D7SDjnOs,48.8646036,2.3429749
2218,Liquide,1,,,casual,,,https://www.liquide.paris/,,https://www.facebook.com/liquideparsubstance,,,UNKNOWN,UNKNOWN,ChIJIUPzvsJv5kcROYwo97Lmxhw,48.8609782,2.342335
88,PEPPE PIZZERIA Etienne Marcel,1,,,casual,,,https://peppe.pizza/peppe-etienne-marcel,,,,,UNKNOWN,UNKNOWN,ChIJSUc5XgBv5kcRyqpIzLiiYHc,48.8634569,2.3500174
100,Restaurant Tracé,1,,,casual,,,https://www.xn--restaurant-trac-pnb.com/,,,,,UNKNOWN,UNKNOWN,ChIJlWVr9v9v5kcR2ecnPPpaWF8,48.8642796,2.336053
15,Yam'Tcha Bistrot,1,,,"casual, classic",,,https://www.yamtcha.com/reservations.html,,,,,UNKNOWN,UNKNOWN,ChIJwzUxYiJu5kcRL_AV_Y_YiD0,48.8635584,2.3442057
2,19 SAINT ROCH.,1,,,,,,https://www.19saint-roch.com/,,,2026-06-23T14:47:17+02:00,medium,UNKNOWN,UNKNOWN,ChIJ6QNjzqBv5kcRdxkLUD7wcuA,48.8654006,2.3321869
170,Brasserie Flottes,1,,,,,,https://brasserieflottes.fr/fr,,,,,UNKNOWN,UNKNOWN,ChIJDeI4Jx9v5kcRItEpEe0E6jo,48.8662906,2.3253452
556,Campelli,1,,,,,,https://campelli.paris/en/main-home-english,,,,,UNKNOWN,UNKNOWN,ChIJKbov-Vxv5kcRK4hmgE5Kdbc,48.8642735,2.3402922
17,Central Park,1,,,,,,http://cpcafe.paris/,,,,,UNKNOWN,UNKNOWN,ChIJyx4fd7dv5kcRI_AtgAIpwOs,48.8635653,2.3441362
19,CHARBON KUNITORAYA,1,,,,,,https://kunitoraya.com/#restaurant,,,,,UNKNOWN,UNKNOWN,ChIJHUT1gkBv5kcRZ95ZsUdWzoc,48.866209,2.336266
21,Chez Vong,1,,,,,,http://www.chez-vong.com/,,,,,UNKNOWN,UNKNOWN,ChIJ6c5NExlu5kcRQNbXZzZ41JM,48.862824,2.349202
22,Cloche Paris,1,,,,,,https://www.cloche-paris.com/,,,,,UNKNOWN,UNKNOWN,ChIJa5rJE25v5kcRyOBfnhknMQU,48.8642326,2.3418651
23,Clover Grill,1,,,,,,https://xn--jeanfranoispiege-jpb.com/clover-grill,,,,,UNKNOWN,UNKNOWN,ChIJP_BofyFu5kcRWFi09oBCEDE,48.8610135,2.3419764
24,Comptoir de la Gastronomie,1,,,,,,https://comptoirdelagastronomie.com/le-restaurante,,,,,UNKNOWN,UNKNOWN,ChIJHQXzdhhu5kcR44cVFMAi95c,48.8645528,2.345431
1320,Dai Dai,1,,,,,,https://dai-dai.fr/fr,,,,,UNKNOWN,UNKNOWN,ChIJbxvhubhv5kcRDJbc-9i8dI0,48.8667088,2.3367826
116,Daimant Saint-Honoré,1,,,,,,https://www.daimant.co/daimant-saint-honore.html,,,,,UNKNOWN,UNKNOWN,ChIJE9BOjHlv5kcR67IO4w_fOfk,48.8664314,2.3321146
87,Domaine National du Palais-Royal,1,,,,,,https://palaisroyalrestaurant.com/?lang=en,,,,,UNKNOWN,UNKNOWN,ChIJR3122B9u5kcR9RZ_OWxSy80,48.8637569,2.3371261
31,ELSE,1,,,,,,https://elseparis.fr/,,,,,UNKNOWN,UNKNOWN,ChIJU21eyyNu5kcRO6xfeBIiwMc,48.8621721,2.3421815
33,Florida,1,,,,,,https://florida-leshalles.com/,,,,,UNKNOWN,UNKNOWN,ChIJPeeOgHlv5kcRJOcc2neX1ts,48.8633138,2.3462112
34,Foujita,1,,,,,,https://www.facebook.com/Foujita-290506878030561/,,https://www.facebook.com/Foujita-290506878030561,,,UNKNOWN,UNKNOWN,ChIJZYQe4S9u5kcRKcPdvxzz9KM,48.8663902,2.3328129
