Arrondissement,Eligible Candidates,Favorite TRUE,Cuisine Non-Empty,Vibe Non-Empty,Features Non-Empty,Notes Non-Empty,Website,Instagram,Facebook,LLM Tagged,LLM Confidence,Delivery,Takeaway,At Least One Structured Tag,No Useful Curation Signal,Basic Google Identity/Location Only
1,84,0,21,30,2,0,82,3,5,3,3,0,0,30,0,0
2,128,0,38,45,0,0,121,18,7,0,0,0,0,45,0,0
3,73,0,22,24,0,0,70,10,2,0,0,0,0,24,0,0
4,34,0,9,14,0,0,33,3,0,0,0,0,0,14,0,0
5,67,0,19,27,0,0,66,5,5,0,0,0,0,27,0,0
6,97,0,24,31,0,0,96,6,6,0,0,0,0,31,0,0
7,77,0,21,25,0,1,77,4,0,0,0,0,0,25,0,0
8,87,0,24,26,0,0,86,6,4,0,0,0,0,26,0,0
9,120,0,24,39,0,0,114,16,6,0,0,0,0,39,0,0
10,112,0,32,38,0,0,104,16,5,0,0,0,0,38,0,0
11,146,0,36,46,0,0,135,27,3,0,0,0,0,46,0,0
12,39,0,6,16,0,0,37,3,1,0,0,0,0,16,0,0
13,30,0,6,10,0,0,29,2,2,0,0,0,0,10,0,0
14,52,0,21,22,0,0,51,4,4,0,0,0,0,22,0,0
15,62,0,15,18,0,0,59,3,6,0,0,0,0,18,0,0
16,43,0,18,20,0,0,41,7,1,0,0,0,0,20,0,0
17,83,0,26,39,0,0,81,3,4,0,0,0,0,39,0,0
18,68,0,28,31,0,0,65,11,4,0,0,0,0,31,0,0
19,23,0,6,7,0,0,19,4,3,0,0,0,0,7,0,0
20,30,0,11,12,0,0,27,7,4,0,0,0,0,12,0,0
