Sheet Row Number,Name,Arrondissement,Favorite,Cuisine,Vibe,Features,Address,Postal Code,Website,Google Place ID,Latitude,Longitude
2,19 SAINT ROCH.,1,,,,,"19 Rue Saint-Roch, 75001 Paris, France",75001,https://www.19saint-roch.com/,ChIJ6QNjzqBv5kcRdxkLUD7wcuA,48.8654006,2.3321869
4,Alfi's,1,,italian,casual,"lunch, late_night, cocktails","26 Rue du Mont Thabor, 75001 Paris, France",75001,https://www.alfis-paris.com/,ChIJKXIQTodv5kcRpBJj_8p8yb4,48.8663741,2.3272262
5,Alfred,1,,french,classic,good_for_groups,"8 Rue du Mont Thabor, 75001 Paris, France",75001,https://www.alfred-paris.com/,ChIJxe_7Nihv5kcRbFerQNdaEp4,48.8656226,2.3291059
110,Au Pied de Cochon,1,,,casual,,"6 Rue Coquillière, 75001 Paris, France",75001,https://www.pieddecochon.com/,ChIJQQtKZyJu5kcRhXhHvOUt3To,48.8635176,2.3437221
113,Benihana Paris,1,,wine_bar,casual,,"163 Rue Saint-Honoré, 75001 Paris, France",75001,https://www.benihana.fr/,ChIJTSd1Ig9v5kcRXjZxuSYVoeg,48.863471,2.3348465
69,Bistro les Artizans,1,,"bakery, bistro","casual, classic",,"30 Rue Montorgueil, 75001 Paris, France",75001,http://lesartizans.fr/,ChIJ_5qDXxhu5kcRiJhbIQOAZr4,48.8637686,2.3465503
79,Bistro Mee,1,,bistro,"casual, classic",,"5 Rue d'Argenteuil, 75001 Paris, France",75001,https://lefooding.com/restaurants/restaurant-bistrot-mee-paris,ChIJHXZBfCVu5kcRJ9vT1b9opEc,48.8645247,2.3338876
107,Boutique yam'Tcha,1,,,casual,,"4 Rue Sauval, 75001 Paris, France",75001,https://www.yamtcha.com/reservations.html,ChIJsWggLCJu5kcRdLsT5Rd6Wsw,48.8617019,2.3424475
170,Brasserie Flottes,1,,,,,"2 Rue Cambon, 75001 Paris, France",75001,https://brasserieflottes.fr/fr,ChIJDeI4Jx9v5kcRItEpEe0E6jo,48.8662906,2.3253452
13,Café Joséphine,1,,cafe,casual,,"3 Pl. des Deux Ecus, 75001 Paris, France",75001,https://www.cafe-josephine.fr/,ChIJdd2yjVhv5kcR40Ab9Db4mBI,48.8628067,2.3413233
14,Café Kitsuné Louvre,1,,"bakery, cafe",casual,,"2 Pl. André Malraux, 75001 Paris, France",75001,https://maisonkitsune.com/mk/find-a-store/cafe-kitsune-vertbois-2,ChIJzXNG3Ehv5kcRrlMHyynIcWY,48.8640368,2.3357595
793,Café Lapérouse Concorde,1,,cafe,casual,,"2 Pl. de la Concorde, 75001 Paris, France",75001,https://cafelaperouse.com/,ChIJy0uxFbFv5kcRY5pz2Ruz8aM,48.8667698,2.3229809
556,Campelli,1,,,,,"36 Rue Croix des Petits Champs, 75001 Paris, France",75001,https://campelli.paris/en/main-home-english,ChIJKbov-Vxv5kcRK4hmgE5Kdbc,48.8642735,2.3402922
17,Central Park,1,,,,,"5 Rue du Jour, 75001 Paris, France",75001,http://cpcafe.paris/,ChIJyx4fd7dv5kcRI_AtgAIpwOs,48.8635653,2.3441362
19,CHARBON KUNITORAYA,1,,,,,"5 Rue Villédo, 75001 Paris, France",75001,https://kunitoraya.com/#restaurant,ChIJHUT1gkBv5kcRZ95ZsUdWzoc,48.866209,2.336266
21,Chez Vong,1,,,,,"10 Rue de la Grande Truanderie, 75001 Paris, France",75001,http://www.chez-vong.com/,ChIJ6c5NExlu5kcRQNbXZzZ41JM,48.862824,2.349202
22,Cloche Paris,1,,,,,"1 Rue Coq Héron, 75001 Paris, France",75001,https://www.cloche-paris.com/,ChIJa5rJE25v5kcRyOBfnhknMQU,48.8642326,2.3418651
23,Clover Grill,1,,,,,"6 Rue Bailleul, 75001 Paris, France",75001,https://xn--jeanfranoispiege-jpb.com/clover-grill,ChIJP_BofyFu5kcRWFi09oBCEDE,48.8610135,2.3419764
24,Comptoir de la Gastronomie,1,,,,,"34 Rue Montmartre, 75001 Paris, France",75001,https://comptoirdelagastronomie.com/le-restaurante,ChIJHQXzdhhu5kcR44cVFMAi95c,48.8645528,2.345431
1320,Dai Dai,1,,,,,"31 Rue des Petits Champs, 75001 Paris, France",75001,https://dai-dai.fr/fr,ChIJbxvhubhv5kcRDJbc-9i8dI0,48.8667088,2.3367826
