Sheet Row Number,Name,Arrondissement,City,Postal Code,Status,Needs Review,Google Place ID,Latitude,Longitude,Exclusion Reasons,Location Concern
3,Restaurant Capitaine (@restaurant_capitaine) • Photos et vidéos Instagram,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
6,Source,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
7,Astara,1,Paris,75001,closed,FALSE,ChIJIz1Mhghv5kcRUGE96nC7cQU,48.8662418,2.3388051,inactive,
8,Balagan paris,1,Paris,75001,closed,FALSE,ChIJF-kMFS5u5kcR7uGBUJHHOGc,48.8654743,2.3296441,inactive,
9,Presqu'île,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
10,Ellis Gourmet Burger,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
11,Lovebird,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
12,Les Cuistots Migrateurs - Apéro,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
16,Café Joyeux Olympia,9,Paris,75009,closed,FALSE,ChIJyTRLLxtv5kcRZiUA2T2IeY4,48.8697133,2.327773,inactive,
18,Champeaux,,,,closed,FALSE,,,,inactive;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
20,Chez Lulu,1,Paris,75001,closed,FALSE,ChIJFbLmFKtv5kcRwjvMIgSZ_nI,48.8641703,2.3439768,inactive,
25,Damigiana,1,Paris,75001,closed,FALSE,ChIJd25Hf21v5kcRd9Eip7RFWlc,48.8639706,2.3435643,inactive,
26,Liberty's Burge,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
27,angosteria (Hôtel Cheval Blanc),,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
29,Baltard au Louvre,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
30,Ellsworth,1,Paris,75001,closed,FALSE,ChIJVYzd2CRu5kcRh6jhX0cnVL4,48.8655806,2.3369467,inactive,
38,Brasserie du Louvre (Hôtel du Louvre by Hyatt),,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
41,Hao Long,1,Paris,75001,closed,FALSE,ChIJq68A2SRu5kcRNThiBhwvg3k,48.8656581,2.3370011,inactive,
44,Elvecino,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
46,Izakaya Issé,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
47,TenZen,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
49,Kinugawa Vendôme,1,Paris,75001,closed,FALSE,ChIJRXuGDS5u5kcRH6Z1Wg64Qag,48.8654493,2.3289756,inactive,
52,L'Absinthe,1,Paris,75001,closed,FALSE,ChIJw9UX2C9u5kcRJjMYhVZX_3Y,48.8664836,2.3320624,inactive,
53,L'Aube Restaurant par Thibault Nizard,1,Paris,75001,closed,FALSE,ChIJjWREJfhv5kcRPapusljh0JA,48.8641804,2.3362479,inactive,
55,La Dame de Pic,1,Paris,75001,closed,FALSE,ChIJaWy42CNu5kcRSLqIejQtI7s,48.8614756,2.3413145,inactive,
56,La Guinguette d’Angèle,1,Paris,75001,closed,FALSE,ChIJici7DyNu5kcRbnftvw_zxmU,48.8643197,2.341499,inactive,
59,La Renommee,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
67,Salon des Manufactures,1,Paris,75001,closed,FALSE,ChIJlXc4OQ5v5kcRYLQBGCPU4NE,48.866321,2.338477,inactive,
71,Maslow - Vegeterian,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
73,Ma Cocotte aux Halles,1,Paris,75001,closed,FALSE,ChIJR1HYHGhv5kcRqz66YJqDxOA,48.8615269,2.3460943,inactive,
74,Maison Maison,1,Paris,75001,closed,FALSE,ChIJB5A4AiFu5kcRxI0GAdRsR2U,48.8584618,2.3413782,inactive,
