Sheet Row Number,Name,Arrondissement,MVP Selection Reason,Favorite,Cuisine,Vibe,Features,Address,Postal Code,Website,Instagram,Google Place ID,Latitude,Longitude
2,19 SAINT ROCH.,1,manual_essential,,,,,"19 Rue Saint-Roch, 75001 Paris, France",75001,https://www.19saint-roch.com/,,ChIJ6QNjzqBv5kcRdxkLUD7wcuA,48.8654006,2.3321869
4,Alfi's,1,manual_essential,,italian,casual,"lunch, late_night, cocktails","26 Rue du Mont Thabor, 75001 Paris, France",75001,https://www.alfis-paris.com/,,ChIJKXIQTodv5kcRpBJj_8p8yb4,48.8663741,2.3272262
5,Alfred,1,manual_essential,,french,classic,good_for_groups,"8 Rue du Mont Thabor, 75001 Paris, France",75001,https://www.alfred-paris.com/,,ChIJxe_7Nihv5kcRbFerQNdaEp4,48.8656226,2.3291059
13,Café Joséphine,1,manual_essential,,cafe,casual,,"3 Pl. des Deux Ecus, 75001 Paris, France",75001,https://www.cafe-josephine.fr/,,ChIJdd2yjVhv5kcR40Ab9Db4mBI,48.8628067,2.3413233
14,Café Kitsuné Louvre,1,manual_essential,,"bakery, cafe",casual,,"2 Pl. André Malraux, 75001 Paris, France",75001,https://maisonkitsune.com/mk/find-a-store/cafe-kitsune-vertbois-2,,ChIJzXNG3Ehv5kcRrlMHyynIcWY,48.8640368,2.3357595
17,Central Park,1,manual_essential,,,,,"5 Rue du Jour, 75001 Paris, France",75001,http://cpcafe.paris/,,ChIJyx4fd7dv5kcRI_AtgAIpwOs,48.8635653,2.3441362
19,CHARBON KUNITORAYA,1,manual_essential,,,,,"5 Rue Villédo, 75001 Paris, France",75001,https://kunitoraya.com/#restaurant,,ChIJHUT1gkBv5kcRZ95ZsUdWzoc,48.866209,2.336266
21,Chez Vong,1,manual_essential,,,,,"10 Rue de la Grande Truanderie, 75001 Paris, France",75001,http://www.chez-vong.com/,,ChIJ6c5NExlu5kcRQNbXZzZ41JM,48.862824,2.349202
22,Cloche Paris,1,manual_essential,,,,,"1 Rue Coq Héron, 75001 Paris, France",75001,https://www.cloche-paris.com/,,ChIJa5rJE25v5kcRyOBfnhknMQU,48.8642326,2.3418651
23,Clover Grill,1,manual_essential,,,,,"6 Rue Bailleul, 75001 Paris, France",75001,https://xn--jeanfranoispiege-jpb.com/clover-grill,,ChIJP_BofyFu5kcRWFi09oBCEDE,48.8610135,2.3419764
